CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,INTRUNO,SEATLOC,INTCOMP,INTRUSION,INTMAG,INTDIRECT,CASEWGT,PSUSTRAT,VERSION
24997,29,3,1-29-2022-003-09,9,2,5,11,23,14,2,3,2479.820609,2,7
24997,29,3,1-29-2022-003-09,9,2,6,11,20,7,1,3,2479.820609,2,7
24997,29,3,1-29-2022-003-09,9,2,13,21,6,5,1,3,2479.820609,2,7
24997,29,3,1-29-2022-003-09,9,2,14,21,14,10,2,3,2479.820609,2,7
24997,29,3,1-29-2022-003-09,9,2,7,11,8,14,2,3,2479.820609,2,7
24997,29,3,1-29-2022-003-09,9,2,8,12,1,999,2,3,2479.820609,2,7
24997,29,3,1-29-2022-003-09,9,2,9,12,3,9,2,3,2479.820609,2,7
24997,29,3,1-29-2022-003-09,9,2,10,12,29,3,1,3,2479.820609,2,7
24997,29,3,1-29-2022-003-09,9,2,11,11,2,999,1,1,2479.820609,2,7
24997,29,3,1-29-2022-003-09,9,2,12,21,8,14,2,3,2479.820609,2,7
25001,54,16,1-54-2022-016-01,1,1,1,21,30,999,3,2,179.7587124,9,7
25001,54,16,1-54-2022-016-01,1,1,2,21,8,999,3,3,179.7587124,9,7
25001,54,16,1-54-2022-016-01,1,1,3,11,19,5,1,1,179.7587124,9,7
25001,54,16,1-54-2022-016-01,1,1,4,21,24,999,3,2,179.7587124,9,7
25001,54,16,1-54-2022-016-01,1,1,5,22,24,999,3,2,179.7587124,9,7
25001,54,16,1-54-2022-016-01,1,1,6,21,16,999,2,3,179.7587124,9,7
25001,54,16,1-54-2022-016-01,1,1,7,11,20,999,2,3,179.7587124,9,7
25001,54,16,1-54-2022-016-01,1,1,8,21,20,999,2,3,179.7587124,9,7
25001,54,16,1-54-2022-016-01,1,1,9,21,9,999,3,3,179.7587124,9,7
25001,54,16,1-54-2022-016-01,1,1,10,11,22,999,1,1,179.7587124,9,7
25004,59,10,1-59-2022-010-01,1,1,1,13,20,60,5,1,63.48521921,6,7
25004,59,10,1-59-2022-010-01,1,1,3,12,20,9,2,2,63.48521921,6,7
25004,59,10,1-59-2022-010-01,1,1,4,13,19,48,5,2,63.48521921,6,7
25004,59,10,1-59-2022-010-01,1,1,5,12,19,9,2,2,63.48521921,6,7
25004,59,10,1-59-2022-010-01,1,1,6,13,30,15,3,1,63.48521921,6,7
25004,59,10,1-59-2022-010-01,1,1,7,13,9,21,3,2,63.48521921,6,7
25004,59,10,1-59-2022-010-01,1,1,14,12,18,48,5,2,63.48521921,6,7
25004,59,10,1-59-2022-010-01,1,1,15,11,18,18,3,2,63.48521921,6,7
25004,59,10,1-59-2022-010-01,1,1,16,13,6,48,5,2,63.48521921,6,7
26665,12,41,1-12-2022-041-08,8,1,9,13,21,999,2,2,607.5369599,9,7
26676,24,92,1-24-2022-092-07,7,1,1,13,15,10,2,3,3079.827939,1,7
26676,24,92,1-24-2022-092-07,7,1,2,13,12,999,1,3,3079.827939,1,7
26682,66,64,1-66-2022-064-09,9,1,1,11,22,5,1,1,135.4934933,6,7
26682,66,64,1-66-2022-064-09,9,1,2,12,22,20,3,1,135.4934933,6,7
26682,66,64,1-66-2022-064-09,9,1,3,13,22,30,4,1,135.4934933,6,7
26682,66,64,1-66-2022-064-09,9,1,4,11,19,8,2,1,135.4934933,6,7
26682,66,64,1-66-2022-064-09,9,1,5,12,19,15,3,1,135.4934933,6,7
26682,66,64,1-66-2022-064-09,9,1,6,13,19,37,4,1,135.4934933,6,7
26682,66,64,1-66-2022-064-09,9,1,7,11,21,999,4,2,135.4934933,6,7
