CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,EDREVENTNO,EVENTDESC,CDCEVENT,IGCYCRASH,WARNLAMP,NUMEVENTS,EVENT1TO2,FILEREC,MAXDVRESTIME,MAXDVLONG,MAXDVLONGTIME,MAXDVLAT,MAXDVLATTIME,CASEWGT,PSUSTRAT,VERSION
9114,17,6,1-17-2018-006-09,9,1,1,1,Non-Deployment,99,0,0,7,9997.0000,7,12.5000,-0.8533,12.5000,997.0000,9997.0000,928.670484328288,4,3
10567,32,78,1-32-2018-078-05,5,1,1,1,Non-Deployment,99,14343,1,7,9997.0000,1,12.5000,-0.6279,12.5000,997.0000,9997.0000,150.002569215052,7,3
9476,30,15,1-30-2018-015-02,2,2,1,1,Non-Deployment,99,27813,0,7,9997.0000,1,0.0000,0.0000,0.0000,997.0000,9997.0000,119.535318299964,10,3
11073,27,46,1-27-2018-046-06,6,2,1,1,Non-Deployment,99,23412,0,7,9997.0000,1,0.0000,0.0000,0.0000,997.0000,9997.0000,51.4618321023086,3,3
11866,54,18,1-54-2018-018-08,8,2,1,1,Non-Deployment,99,34495,0,7,9997.0000,1,0.0000,0.0000,0.0000,997.0000,9997.0000,289.649312795195,9,3
12508,52,92,1-52-2018-092-02,2,2,1,2,Second Record,99,999997,1,65282,8888.0000,7,9997.0000,-0.9660,0.0000,997.0000,9997.0000,23.6553293117935,12,3
9293,31,4,1-31-2018-004-05,5,1,1,1,Non-Deployment,99,42745,0,7,0.8000,7,0.0000,0.0000,0.0000,997.0000,9997.0000,253.605077697242,6,3
10419,66,24,1-66-2018-024-10,10,1,1,1,Non-Deployment,99,27489,1,7,9997.0000,7,0.0000,0.0000,0.0000,997.0000,9997.0000,1366.92404149826,6,3
10761,25,33,1-25-2018-033-07,7,1,1,1,Rollover,99,999998,7,7,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,734.634281248555,2,3
9811,30,22,1-30-2018-022-06,6,3,1,4,Rollover,99,999998,7,7,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,1267.98078812957,10,3
9542,22,13,1-22-2018-013-10,10,1,1,1,Most Recent Frontal/Rear Event,99,999998,0,7,9997.0000,1,9997.0000,11.5920,9997.0000,997.0000,9997.0000,1070.22198509592,12,3
10574,66,26,1-66-2018-026-09,9,1,1,2,1st Prior Event,99,999998,0,7,9997.0000,1,9997.0000,21.2520,9997.0000,997.0000,9997.0000,1497.75490777934,6,3
9669,16,29,1-16-2018-029-04,4,1,1,1,Non-Deployment,99,30890,0,7,9997.0000,1,15.0000,997.0000,9997.0000,997.0000,9997.0000,2270.9604965239,5,3
9682,17,30,1-17-2018-030-03,3,1,1,1,Non-Deployment,99,33927,0,7,9997.0000,1,22.5000,-0.4669,22.5000,997.0000,9997.0000,1297.17895692603,4,3
