CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,OCCNO,CHILDSEATNO,SEATLOC,CHILDMANUF,CHILDMAKE,CHILDMODEL,CHILDMODELNO,CHILDSEATYPE,CHILDDATEMAN,HOWUSED,DATASOURCE,ORIENTATION,HARNESSDESIGN,RETAINERCLIPDESIGN,TETHERDESIGN,LATCHDESIGN,HARNESSUSE,RETAINERCLIPUSE,TETHERUSE,LATCHUSE,BELTROUT,LOCKCLIPUSE,PLACEMENT,CHILDPOSITION,BELTRETYPE,LATCHPLATE,LATCHANCHOR,LATCHTETHER,CASEWGT,PSUSTRAT,VERSION
28130,77,1,1-77-2023-001-04,4,2,2,2,21,13,23,4011,2106702,4,05/05/2020,1,1,1,2,1,0,1,2,9,0,1,1,0,1,9,1,1,1,1,114.5224416,9,8
28218,54,4,1-54-2023-004-08,8,2,3,3,21,10,12,5033,BC110-FMH,5,07/16/2021,2,3,2,2,1,1,1,2,2,1,3,9,0,1,1,5,1,1,1,156.9645701,9,8
28226,19,2,1-19-2023-002-07,7,1,2,1,21,13,23,5026,1933869,5,10/19/2015,2,2,2,2,1,1,1,2,3,2,1,1,0,1,1,3,1,1,1,297.0954768,9,8
28226,19,2,1-19-2023-002-07,7,1,3,2,23,6,6,6054,0507983578070,6,01/01/2022,3,2,2,0,0,0,1,0,0,0,1,0,0,1,1,3,1,1,1,297.0954768,9,8
28226,19,2,1-19-2023-002-07,7,1,4,3,33,6,6,6054,00079835440070,6,08/01/2020,3,3,2,0,0,0,1,0,0,0,1,0,0,1,1,3,1,1,1,297.0954768,9,8
28255,23,2,1-23-2023-002-03,3,2,2,2,21,9,10,4001,99999999,4,9999999999,2,2,2,2,1,1,1,5,9,1,3,3,9,1,9,9,9,9,9,203.1102871,5,8
28255,23,2,1-23-2023-002-03,3,2,3,3,23,9,10,4001,99999999,4,9999999999,1,2,1,2,1,0,1,5,9,0,3,2,9,1,9,9,9,9,9,203.1102871,5,8
28288,12,3,1-12-2023-003-07,7,1,2,1,23,98,98,9998,99999999,99,9999999999,9,2,2,9,9,9,9,0,0,1,0,2,0,1,1,3,1,1,1,428.8600139,9,8
28313,19,7,1-19-2023-007-03,3,1,2,1,23,98,98,9998,99999999,99,9999999999,9,5,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,105.6334655,9,8
28313,19,7,1-19-2023-007-03,3,2,3,3,21,98,98,9998,99999999,99,9999999999,9,5,2,9,9,9,9,9,9,9,9,9,9,1,9,5,1,1,1,105.6334655,9,8
28313,19,7,1-19-2023-007-03,3,2,4,4,23,98,98,9998,99999999,99,9999999999,9,5,1,9,9,9,9,9,9,9,9,9,9,1,9,5,1,1,1,105.6334655,9,8
28318,17,6,1-17-2023-006-07,7,1,2,2,22,13,23,4024,2095094,4,03/11/2021,1,1,1,2,1,0,1,5,5,0,1,1,0,1,1,3,1,1,1,99.91225403,4,8
28326,14,3,1-14-2023-003-06,6,1,2,2,23,98,98,9998,99999999,99,9999999999,9,5,9,9,9,9,9,9,9,9,9,9,9,1,9,5,1,1,1,2101.47449,8,8
28353,27,5,1-27-2023-005-04,4,1,2,2,21,98,98,9998,99999999,99,9999999999,9,2,2,9,9,9,9,9,9,9,9,9,9,1,1,5,1,1,1,162.3156683,3,8
28403,17,10,1-17-2023-010-08,8,1,2,2,21,98,98,9998,99999999,99,9999999999,9,5,9,9,9,9,9,9,9,9,9,9,9,1,9,1,1,1,1,71.18663877,4,8
