CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,EDREVENTNO,EVENTDESC,CDCEVENT,IGCYCRASH,WARNLAMP,NUMEVENTS,EVENT1TO2,FILEREC,MAXDVRESTIME,MAXDVLONG,MAXDVLONGTIME,MAXDVLAT,MAXDVLATTIME,CASEWGT,PSUSTRAT,VERSION
19715,24,170,1-24-2020-170-03,3,2,1,3,Prior Frontal/Rear Event,97,999997,0,97,9997.0000,1,9997.0000,-2.0930,9997.0000,997.0000,9997.0000,198.319659859114,1,5
19715,24,170,1-24-2020-170-03,3,2,1,2,1st Prior Frontal/Rear Event,97,999997,0,97,9997.0000,1,9997.0000,-6.6010,9997.0000,997.0000,9997.0000,198.319659859114,1,5
19721,20,82,1-20-2020-082-03,3,1,1,1,Event Record 1,97,16570,0,1,9997.0000,1,9997.0000,-11.2700,210.0000,3.2200,260.0000,567.25598758101,11,5
19722,12,90,1-12-2020-090-10,10,2,1,2,Non-Deployment,97,24990,0,97,9997.0000,1,2.5000,-0.0966,2.5000,997.0000,9997.0000,451.000464950864,9,5
19722,12,90,1-12-2020-090-10,10,2,1,1,Deployment,1,25209,0,97,9997.0000,1,102.5000,-15.0535,102.5000,997.0000,9997.0000,451.000464950864,9,5
19725,77,98,1-77-2020-098-03,3,1,1,1,Record 1,2,6168,0,1,0.0000,1,180.0000,-8.0500,290.0000,0.9660,290.0000,698.788124649601,9,5
19726,27,85,1-27-2020-085-08,8,2,1,1,Most Recent Frontal/Rear Event,1,999997,0,97,9997.0000,7,9997.0000,-41.6990,9997.0000,997.0000,9997.0000,47.9613255129643,3,5
19726,27,85,1-27-2020-085-08,8,2,1,2,1st Prior Frontal/Rear Event,97,999997,0,97,9997.0000,7,9997.0000,0.1610,9997.0000,997.0000,9997.0000,47.9613255129643,3,5
16573,26,24,1-26-2020-024-02,2,1,1,3,2nd Prior Event,1,5456,0,97,9997.0000,1,9997.0000,14.6510,120.0000,997.0000,9997.0000,29.7923693967724,10,5
16573,26,24,1-26-2020-024-02,2,1,1,4,3rd Prior Event,1,5456,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,29.7923693967724,10,5
16573,26,24,1-26-2020-024-02,2,1,1,5,Unlinked,1,5456,0,97,9997.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,29.7923693967724,10,5
16545,25,15,1-25-2020-015-03,3,1,1,1,Event Record 1,1,6060,0,1,9997.0000,1,9997.0000,-12.8800,172.0000,-1.6100,92.0000,273.301345111455,2,5
16537,76,15,1-76-2020-015-07,7,2,1,1,Non-Deployment,1,28900,0,97,9997.0000,1,210.0000,-18.3218,210.0000,997.0000,9997.0000,19.0433690485554,3,5
16435,25,13,1-25-2020-013-06,6,2,1,1,First Record,1,11584,0,1,9997.0000,1,9997.0000,-10.9480,100.0000,997.0000,9997.0000,237.078792682587,2,5
16211,16,6,1-16-2020-006-01,1,2,1,1,Deployment,1,999997,7,97,9997.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,19.5951062192473,5,5
16211,16,6,1-16-2020-006-01,1,1,1,1,Deployment,1,10048,0,97,-0.1200,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,19.5951062192473,5,5
16538,76,16,1-76-2020-016-10,10,1,1,1,Deployment,95,999997,7,97,9997.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,28.3828088997797,3,5
16448,31,10,1-31-2020-010-03,3,1,1,1,Event Record 1,97,2951,0,1,9997.0000,1,9997.0000,-8.0500,168.0000,-1.6100,108.0000,192.308910457965,6,5
16476,33,8,1-33-2020-008-06,6,1,1,1,First Record,3,20058,0,1,9997.0000,1,9997.0000,-0.6923,300.0000,-1.4651,284.0000,87.9467718607678,12,5
16476,33,8,1-33-2020-008-06,6,1,1,2,Second Record,4,20058,1,2,2.0000,1,9997.0000,-0.3703,124.0000,-15.2628,300.0000,87.9467718607678,12,5
16477,33,9,1-33-2020-009-05,5,1,1,1,Event Record 1,2,9715,0,1,9997.0000,1,9997.0000,-3.2200,300.0000,11.2700,297.5000,30.0821504487588,12,5
16601,77,23,1-77-2020-023-02,2,2,1,1,First Record,1,19800,0,1,9997.0000,1,9997.0000,-44.9351,166.0000,-6.8747,96.0000,115.984887087414,9,5
16667,29,32,1-29-2020-032-07,7,1,1,1,First Record,1,10144,0,1,9997.0000,1,9997.0000,-6.9230,260.0000,997.0000,9997.0000,445.241251088784,2,5
16618,11,12,1-11-2020-012-02,2,2,1,3,2nd Prior Event,1,5127,0,97,9997.0000,1,9997.0000,22.8620,160.5000,997.0000,9997.0000,104.03103714748,8,5
16618,11,12,1-11-2020-012-02,2,2,1,4,3rd Prior Event,97,4566,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,104.03103714748,8,5
16618,11,12,1-11-2020-012-02,2,2,1,1,Most Recent Event,1,5127,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,104.03103714748,8,5
16618,11,12,1-11-2020-012-02,2,2,1,2,1st Prior Event,1,5127,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,104.03103714748,8,5
16618,11,12,1-11-2020-012-02,2,1,1,1,Most Recent Event,2,9690,0,2,1.3000,1,9997.0000,0.0000,0.0000,3.0590,198.0000,104.03103714748,8,5
19726,27,85,1-27-2020-085-08,8,2,1,3,Prior Frontal/Rear Event,97,999997,0,97,9997.0000,7,9997.0000,-0.6440,9997.0000,997.0000,9997.0000,47.9613255129643,3,5
19733,77,99,1-77-2020-099-02,2,1,1,1,First Record,1,1752,0,1,9997.0000,1,260.0000,-39.0103,9997.0000,997.0000,9997.0000,144.821684745928,9,5
19733,77,99,1-77-2020-099-02,2,1,1,2,Second Record,2,1752,1,2,0.6280,1,272.5000,-13.0088,9997.0000,997.0000,9997.0000,144.821684745928,9,5
19734,77,100,1-77-2020-100-05,5,1,1,2,1st Prior Event,1,12698,0,97,9997.0000,1,9997.0000,29.7850,184.5000,997.0000,9997.0000,377.109993509726,9,5
19734,77,100,1-77-2020-100-05,5,1,1,1,Most Recent Event,2,12698,0,97,9997.0000,1,9997.0000,-27.0480,163.5000,997.0000,9997.0000,377.109993509726,9,5
19734,77,100,1-77-2020-100-05,5,2,1,2,1st Prior Event,97,999997,0,97,9997.0000,1,9997.0000,2.5760,9997.0000,997.0000,9997.0000,377.109993509726,9,5
19734,77,100,1-77-2020-100-05,5,2,1,1,Most Recent Event,1,999997,0,97,9997.0000,1,9997.0000,-28.3360,9997.0000,997.0000,9997.0000,377.109993509726,9,5
