CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,OCCNO,CHILDSEATNO,SEATLOC,CHILDMANUF,CHILDMAKE,CHILDMODEL,CHILDMODELNO,CHILDSEATYPE,CHILDDATEMAN,HOWUSED,DATASOURCE,ORIENTATION,HARNESSDESIGN,RETAINERCLIPDESIGN,TETHERDESIGN,LATCHDESIGN,HARNESSUSE,RETAINERCLIPUSE,TETHERUSE,LATCHUSE,BELTROUT,LOCKCLIPUSE,PLACEMENT,CHILDPOSITION,BELTRETYPE,LATCHPLATE,LATCHANCHOR,LATCHTETHER,CASEWGT,PSUSTRAT,VERSION
6150,10,1,1-10-2017-001-09,9,1,4,1,31,13,23,6031,8496Daz,6,01/13/2006,3,1,2,0,0,0,0,0,0,0,0,0,0,1,9,9,9,0,9,1076.86348486225,4,2
6150,10,1,1-10-2017-001-09,9,1,3,2,21,98,98,9998,99999999,99,9999999999,9,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1076.86348486225,4,2
6150,10,1,1-10-2017-001-09,9,1,6,3,33,98,98,9998,99999999,99,9999999999,9,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1076.86348486225,4,2
6228,10,3,1-10-2017-003-09,9,1,2,1,23,13,23,6031,1908157,6,07/18/2014,3,3,2,0,0,0,0,0,0,1,3,0,0,1,1,4,1,0,0,1098.36140168446,4,2
6262,33,6,1-33-2017-006-10,10,2,2,1,23,12,19,5016,30621466,5,03/15/2014,2,3,2,2,1,1,1,9,3,1,3,2,0,1,1,0,2,1,1,813.870005186694,12,2
6293,14,6,1-14-2017-006-02,2,1,3,1,23,98,98,9998,99999999,99,9999999999,9,5,9,9,9,9,9,9,9,9,9,9,9,9,9,5,1,1,1,377.192049330049,8,2
6293,14,6,1-14-2017-006-02,2,1,2,2,21,98,98,9998,99999999,99,9999999999,9,5,9,9,9,9,9,9,9,9,9,9,9,9,9,5,1,1,1,377.192049330049,8,2
6307,12,5,1-12-2017-005-04,4,1,2,1,21,12,19,6024,3414198,6,05/21/2015,3,3,2,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,2341.23732557018,9,2
6321,22,11,1-22-2017-011-09,9,1,3,1,23,13,23,2036,1897829,2,09/26/2014,1,3,1,2,1,0,1,3,5,1,3,4,0,1,1,1,0,0,0,282.522375712169,12,2
6354,21,6,1-21-2017-006-04,4,1,3,1,21,6,6,1009,08061472180070,1,05/01/2014,1,2,1,2,1,0,1,2,3,0,1,4,0,1,3,1,1,1,1,1145.92166113939,11,2
