CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,EDREVENTNO,EVENTDESC,CDCEVENT,IGCYCRASH,WARNLAMP,NUMEVENTS,EVENT1TO2,FILEREC,MAXDVRESTIME,MAXDVLONG,MAXDVLONGTIME,MAXDVLAT,MAXDVLATTIME,CASEWGT,PSUSTRAT,VERSION
13729,25,32,1-25-2019-032-10,10,1,1,1,Non-Deployment,99,16835,0,7,0.1000,1,292.5000,0.0000,292.5000,997.0000,9997.0000,5061.06161757561,2,4
13537,30,39,1-30-2019-039-03,3,1,1,2,Event Record 2,99,3100,0,1,9997.0000,0,187.5000,0.0000,0.0000,-0.9660,272.5000,664.261708181593,10,4
13613,33,44,1-33-2019-044-08,8,1,1,1,Non-Deployment,99,31579,0,7,9997.0000,1,142.5000,-5.1198,142.5000,997.0000,9997.0000,102.455252771248,12,4
12788,27,5,1-27-2019-005-09,9,1,1,1,Non-Deployment,99,27309,0,7,9997.0000,1,115.0000,-5.9892,115.0000,997.0000,9997.0000,95.895479181314,3,4
12580,66,3,1-66-2019-003-06,6,1,1,1,Event 1,99,9173,0,1,9997.0000,1,110.0000,-22.5400,110.0000,-1.6100,110.0000,253.126528795164,6,4
14891,20,38,1-20-2019-038-09,9,2,1,1,Non-Deployment,99,38149,0,7,9997.0000,1,100.0000,997.0000,9997.0000,997.0000,9997.0000,2029.37110719342,11,4
14688,66,52,1-66-2019-052-03,3,2,1,1,Non-Deployment,99,15665,0,7,0.1000,7,100.0000,-0.4186,100.0000,997.0000,9997.0000,117.089255410997,6,4
12701,73,3,1-73-2019-003-08,8,1,1,1,Non-Deployment,99,14660,0,7,0.1000,7,82.5000,-1.4168,82.5000,997.0000,9997.0000,142.571031251738,3,4
14331,66,43,1-66-2019-043-09,9,1,1,1,Non-Deployment,99,28566,1,7,0.1000,0,50.0000,-0.9660,50.0000,997.0000,9997.0000,270.719613201346,6,4
13794,48,28,1-48-2019-028-09,9,1,1,1,Non-Deployment,99,26344,0,7,0.5000,1,47.5000,0.0000,47.5000,997.0000,9997.0000,489.478557412006,12,4
15777,66,75,1-66-2019-075-09,9,1,1,1,Non-Deployment,99,24100,0,7,0.1000,1,0.0000,0.0000,0.0000,997.0000,9997.0000,120.823855191032,6,4
12564,76,2,1-76-2019-002-04,4,2,1,1,Non-Deployment,99,19677,0,7,9997.0000,1,2.5000,-0.3381,2.5000,997.0000,9997.0000,77.917895304151,3,4
15639,48,68,1-48-2019-068-03,3,1,1,2,Non-Deployment,99,26258,0,7,9997.0000,7,12.5000,-0.3542,12.5000,997.0000,9997.0000,427.349156937103,12,4
13119,16,15,1-16-2019-015-09,9,1,1,1,Non-Deployment,99,18613,0,7,9997.0000,7,20.0000,0.0000,20.0000,997.0000,9997.0000,757.930140779803,5,4
13478,24,43,1-24-2019-043-03,3,2,1,1,Non-Deployment,99,14163,0,7,9997.0000,7,0.0000,0.0000,0.0000,997.0000,9997.0000,268.441201018451,1,4
13530,31,23,1-31-2019-023-08,8,1,1,1,Non-Deployment,99,33194,0,7,9997.0000,7,0.0000,0.0000,0.0000,997.0000,9997.0000,356.870367430216,6,4
14275,32,79,1-32-2019-079-02,2,1,1,2,4th Prior Event,99,999998,7,7,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,70.5414001899936,7,4
14275,32,79,1-32-2019-079-02,2,1,1,6,3rd Prior Event,99,999998,7,7,9997.0000,1,9997.0000,-16.9050,198.0000,997.0000,9997.0000,70.5414001899936,7,4
15128,32,123,1-32-2019-123-06,6,1,1,3,2nd Prior Event,99,999998,7,7,9997.0000,1,9997.0000,6.2790,9997.0000,997.0000,9997.0000,1481.24014993164,7,4
14928,32,111,1-32-2019-111-06,6,1,1,4,3rd Prior Event,99,999998,7,7,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,1770.83256229935,7,4
13952,31,32,1-31-2019-032-09,9,1,1,1,Frontal Deployment,99,68,7,7,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,245.392228236489,6,4
13677,29,49,1-29-2019-049-09,9,1,1,2,Rollover,99,999998,7,7,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,176.534178829684,2,4
15128,32,123,1-32-2019-123-06,6,1,1,4,3rd Prior Event,99,999998,7,7,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,1481.24014993164,7,4
13463,22,36,1-22-2019-036-03,3,1,1,4,2nd Prior Event,99,999998,7,7,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,84.3897690153395,12,4
13268,73,16,1-73-2019-016-07,7,1,1,4,Rollover,99,999998,7,7,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,154.561656155751,3,4
13463,22,36,1-22-2019-036-03,3,1,1,5,3rd Prior Event,99,999998,7,7,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,84.3897690153395,12,4
15128,32,123,1-32-2019-123-06,6,1,1,2,1st Prior Event,99,999998,7,7,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,1481.24014993164,7,4
14928,32,111,1-32-2019-111-06,6,1,1,3,2nd Prior Event,99,999998,7,7,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,1770.83256229935,7,4
14952,22,76,1-22-2019-076-05,5,1,1,5,4th Prior Event,99,999998,7,7,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,60.8075899555347,12,4
14568,77,87,1-77-2019-087-03,3,1,1,1,Most Recent Event,99,9634,0,7,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,340.101224281227,9,4
14568,77,87,1-77-2019-087-03,3,1,1,2,1st Prior Event,99,9634,0,7,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,340.101224281227,9,4
14577,28,43,1-28-2019-043-09,9,2,1,1,Most Recent Frontal/Rear Event,99,999998,0,7,9997.0000,1,9997.0000,-5.1520,9997.0000,997.0000,9997.0000,330.942733947479,3,4
13511,17,42,1-17-2019-042-06,6,2,1,1,Most Recent Frontal/Rear Event,99,999998,0,7,9997.0000,1,9997.0000,-0.8050,9997.0000,997.0000,9997.0000,255.026119922489,4,4
12999,54,11,1-54-2019-011-09,9,3,1,1,Most Recent Event,99,8011,0,7,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,789.285631257336,9,4
13859,11,54,1-11-2019-054-02,2,2,1,4,5th Prior Event,99,1608,0,7,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,100.779113276566,8,4
13463,22,36,1-22-2019-036-03,3,1,1,2,Most Recent Event,99,8848,0,7,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,84.3897690153395,12,4
14275,32,79,1-32-2019-079-02,2,1,1,5,2nd Prior Event,99,6911,0,7,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,70.5414001899936,7,4
13075,32,22,1-32-2019-022-02,2,2,1,1,Most Recent Event,99,8211,0,1,0.0000,1,9997.0000,-16.9050,168.0000,-3.0590,86.0000,38.3547604389841,7,4
12680,21,6,1-21-2019-006-09,9,1,1,2,1st Prior Frontal/Rear Event,99,999998,1,7,9997.0000,1,9997.0000,8.2110,9997.0000,997.0000,9997.0000,1277.64535343709,11,4
15128,32,123,1-32-2019-123-06,6,1,1,1,Most Recent Event,99,999998,1,7,9997.0000,1,9997.0000,9.3380,9997.0000,997.0000,9997.0000,1481.24014993164,7,4
12680,21,6,1-21-2019-006-09,9,1,1,1,Most Recent Frontal/Rear Event,99,999998,1,7,9997.0000,1,9997.0000,29.9460,9997.0000,997.0000,9997.0000,1277.64535343709,11,4
14269,66,41,1-66-2019-041-10,10,2,1,2,Most Recent Frontal/Rear Event,99,999998,1,7,9997.0000,1,9997.0000,-1.9320,9997.0000,997.0000,9997.0000,192.358934979935,6,4
13230,66,20,1-66-2019-020-06,6,1,1,1,Most Recent Event,99,999998,0,7,9997.0000,1,9997.0000,-6.9230,9997.0000,997.0000,9997.0000,126.563264397582,6,4
13446,17,38,1-17-2019-038-06,6,2,1,1,Most Recent Frontal/Rear Event,99,999998,0,7,9997.0000,1,9997.0000,9.1770,9997.0000,997.0000,9997.0000,93.0467501507111,4,4
14768,28,47,1-28-2019-047-06,6,1,1,1,Deployment,99,11891,0,7,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,119.835688968074,3,4
13268,73,16,1-73-2019-016-07,7,1,1,2,1st Prior Frontal/Rear Event,99,999998,0,7,9997.0000,1,9997.0000,-4.5080,9997.0000,997.0000,9997.0000,154.561656155751,3,4
14714,26,106,1-26-2019-106-03,3,3,1,1,Most Recent Event,99,12697,0,7,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,594.532928434404,10,4
14227,17,72,1-17-2019-072-06,6,2,1,1,Most Recent Event,99,999998,0,7,9997.0000,1,9997.0000,-1.4490,9997.0000,997.0000,9997.0000,113.789464667722,4,4
13617,21,39,1-21-2019-039-02,2,1,1,10,9th Prior Event,99,3295,0,7,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,74.1088058919459,11,4
13130,26,26,1-26-2019-026-05,5,1,1,1,First Record,99,9195,0,1,9997.0000,1,9997.0000,-10.9480,110.0000,997.0000,9997.0000,51.1357773593974,10,4
13160,66,18,1-66-2019-018-05,5,1,1,1,Event Record 1,99,10207,0,1,0.0000,1,9997.0000,6.4400,272.5000,14.4900,285.0000,151.189714198211,6,4
14088,17,68,1-17-2019-068-03,3,1,1,1,First Record,99,8219,0,1,9997.0000,1,9997.0000,-0.9177,300.0000,-2.3506,277.0000,252.464632020429,4,4
13232,16,18,1-16-2019-018-07,7,1,1,1,First Record,99,16411,0,1,9997.0000,1,9997.0000,-0.7567,290.0000,-0.9499,26.0000,1763.70787502855,5,4
13160,66,18,1-66-2019-018-05,5,1,1,2,Event Record 2,99,10207,0,2,0.1000,1,9997.0000,6.4400,300.0000,8.0500,295.0000,151.189714198211,6,4
15773,28,69,1-28-2019-069-03,3,1,1,1,First Record,99,2556,0,3,2.2000,1,9997.0000,7.6958,300.0000,997.0000,9997.0000,43.883234941125,3,4
13617,21,39,1-21-2019-039-02,2,1,1,1,Most Recent Event,99,0,0,7,9997.0000,0,9997.0000,997.0000,9997.0000,997.0000,9997.0000,74.1088058919459,11,4
14275,32,79,1-32-2019-079-02,2,1,1,1,Trg Invalid #1,99,999998,7,7,9997.0000,0,9997.0000,997.0000,9997.0000,997.0000,9997.0000,70.5414001899936,7,4
13849,13,42,1-13-2019-042-03,3,1,1,1,Trg Invalid #1,99,999998,7,7,9997.0000,0,9997.0000,997.0000,9997.0000,997.0000,9997.0000,798.471069746599,7,4
13952,31,32,1-31-2019-032-09,9,1,1,2,Side Trigger Event,99,118,7,7,9997.0000,0,9997.0000,997.0000,9997.0000,997.0000,9997.0000,245.392228236489,6,4
13665,66,27,1-66-2019-027-10,10,4,1,1,Non-Deployment,99,48288,0,7,1.1000,7,9997.0000,-0.2576,9997.0000,997.0000,9997.0000,577.076804939805,6,4
13801,32,61,1-32-2019-061-05,5,1,1,1,Most Recent Event,99,20617,0,7,9997.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,187.041663343231,7,4
14199,66,40,1-66-2019-040-10,10,1,1,1,First Record,99,999998,0,7,9997.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,192.358934979935,6,4
13463,22,36,1-22-2019-036-03,3,1,1,6,Unlinked,99,8327,0,7,9997.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,84.3897690153395,12,4
13561,11,42,1-11-2019-042-10,10,2,1,1,Non-Deployment,99,17505,0,7,0.1000,7,9997.0000,-0.1288,9997.0000,997.0000,9997.0000,22176.1474139505,8,4
12654,31,4,1-31-2019-004-03,3,2,1,3,2nd Prior Event,99,999998,0,7,9997.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,227.270424528455,6,4
15080,22,78,1-22-2019-078-09,9,1,1,5,Unlinked,99,999998,1,7,9997.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,840.529972376766,12,4
15128,32,123,1-32-2019-123-06,6,1,1,5,Unlinked,99,999998,1,7,9997.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,1481.24014993164,7,4
15181,77,113,1-77-2019-113-03,3,1,1,1,First Record,99,999997,0,65281,8888.0000,7,9997.0000,-0.9660,0.0000,997.0000,9997.0000,400.398839209025,9,4
15639,48,68,1-48-2019-068-03,3,1,1,1,Deployment,99,26258,0,7,0.0600,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,427.349156937103,12,4
12852,54,7,1-54-2019-007-04,4,1,1,1,Non-Deployment,99,29660,0,7,9997.0000,7,9997.0000,-1.1270,9997.0000,997.0000,9997.0000,319.742500330254,9,4
12652,48,3,1-48-2019-003-07,7,1,1,1,Most Recent Event,99,17298,0,7,9997.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,1101.68508953049,12,4
12735,19,7,1-19-2019-007-06,6,1,1,1,Event Record 1,99,65535,0,7,2.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,923.531054651383,9,4
13138,77,26,1-77-2019-026-07,7,2,1,1,First Record,99,999998,0,7,9997.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,2946.40646898544,9,4
13477,24,42,1-24-2019-042-07,7,1,1,1,Event Record 1,99,24630,0,7,0.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,1075.88415122255,1,4
14453,28,41,1-28-2019-041-05,5,2,1,1,Non-Deployment,99,35573,0,7,0.2000,7,9997.0000,0.0000,9997.0000,997.0000,9997.0000,46.7855791031088,3,4
13859,11,54,1-11-2019-054-02,2,2,1,6,7th Prior Event,99,999998,0,7,9997.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,100.779113276566,8,4
13859,11,54,1-11-2019-054-02,2,2,1,3,4th Prior Event,99,999998,0,7,9997.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,100.779113276566,8,4
13859,11,54,1-11-2019-054-02,2,2,1,9,1st Prior Event,99,999998,0,7,9997.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,100.779113276566,8,4
14275,32,79,1-32-2019-079-02,2,1,1,7,Unlinked,99,6911,0,7,9997.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,70.5414001899936,7,4
