CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,OCCNO,CHILDSEATNO,SEATLOC,CHILDMANUF,CHILDMAKE,CHILDMODEL,CHILDMODELNO,CHILDSEATYPE,CHILDDATEMAN,HOWUSED,DATASOURCE,ORIENTATION,HARNESSDESIGN,RETAINERCLIPDESIGN,TETHERDESIGN,LATCHDESIGN,HARNESSUSE,RETAINERCLIPUSE,TETHERUSE,LATCHUSE,BELTROUT,LOCKCLIPUSE,PLACEMENT,CHILDPOSITION,BELTRETYPE,LATCHPLATE,LATCHANCHOR,LATCHTETHER,CASEWGT,PSUSTRAT,VERSION
20894,30,18,1-30-2021-018-03,3,1,2,2,23,98,98,9998,99999999,99,9999999999,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,5,1,1,1,350.265078760704,10,6
20957,19,31,1-19-2021-031-04,4,1,2,2,21,98,98,9998,99999999,99,9999999999,9,5,2,9,9,9,9,9,9,9,9,9,9,1,9,9,9,1,1,153.354033963682,9,6
20974,21,33,1-21-2021-033-03,3,2,4,2,23,13,23,9998,99999999,2,9999999999,2,2,2,2,1,1,1,5,5,2,1,1,0,1,1,3,1,1,1,89.4551343715616,11,6
20974,21,33,1-21-2021-033-03,3,2,3,1,21,13,23,9998,99999999,2,9999999999,2,2,2,2,1,1,1,5,5,2,1,1,0,1,1,3,1,1,1,89.4551343715616,11,6
21010,23,20,1-23-2021-020-09,9,2,2,2,23,13,23,2034,99999999,2,9999999999,2,1,2,2,1,1,1,9,9,1,1,1,0,1,9,3,1,1,1,2095.80446494712,5,6
21057,27,21,1-27-2021-021-03,3,2,3,3,23,10,12,2014,CC123-EFB,2,07/16/2018,2,2,2,2,1,1,1,3,3,1,3,3,0,1,1,4,1,1,1,48.8267981526917,3,6
21057,27,21,1-27-2021-021-03,3,2,2,2,21,98,98,9998,99999999,99,9999999999,9,2,2,9,9,9,9,0,0,0,0,9,0,1,1,3,1,1,1,48.8267981526917,3,6
21121,76,16,1-76-2021-016-07,7,1,2,1,21,98,98,9998,99999999,99,9999999999,9,5,9,9,9,9,9,9,9,9,9,9,9,9,9,5,1,1,1,53.0367270474245,3,6
21186,52,42,1-52-2021-042-09,9,2,2,1,23,98,98,9998,99999999,99,9999999999,9,5,9,9,9,9,9,9,9,9,9,9,9,9,9,5,1,1,1,144.95502075697,12,6
21193,23,23,1-23-2021-023-03,3,2,4,4,23,98,98,9998,99999999,99,9999999999,9,5,1,9,9,9,9,9,9,9,9,9,9,9,9,5,9,1,1,1354.15093501868,5,6
